20221201000001,10.20.30.1/16,1
20221201000002,10.20.30.2/16,1
20221201000003,10.20.30.3/16,1
20221201000004,192.168.1.1/24,1
20221201000005,192.168.1.2/24,1
20221201000101,10.20.30.1/16,-
20221201000102,10.20.30.2/16,-
20221201000103,10.20.30.3/16,-
20221201000104,192.168.1.1/24,-
20221201000105,192.168.1.2/24,1
20221201000201,10.20.30.1/16,-
20221201000202,10.20.30.2/16,-
20221201000203,10.20.30.3/16,-
20221201000204,192.168.1.1/24,-
20221201000205,192.168.1.2/24,1
20221201000301,10.20.30.1/16,-
20221201000302,10.20.30.2/16,-
20221201000303,10.20.30.3/16,-
20221201000304,192.168.1.1/24,-
20221201000305,192.168.1.2/24,-
20221201000401,10.20.30.1/16,1
20221201000402,10.20.30.2/16,1
20221201000403,10.20.30.3/16,1
20221201000404,192.168.1.1/24,1
20221201000405,192.168.1.2/24,-
20221201000501,10.20.30.1/16,1
20221201000502,10.20.30.2/16,1
20221201000503,10.20.30.3/16,1
20221201000504,192.168.1.1/24,-
20221201000505,192.168.1.2/24,-
20221201000601,10.20.30.1/16,1
20221201000602,10.20.30.2/16,1
20221201000603,10.20.30.3/16,1
20221201000604,192.168.1.1/24,-
20221201000605,192.168.1.2/24,1
20221201000701,10.20.30.1/16,1
20221201000702,10.20.30.2/16,1
20221201000703,10.20.30.3/16,1
20221201000704,192.168.1.1/24,-
20221201000705,192.168.1.2/24,1
20221201000801,10.20.30.1/16,1
20221201000802,10.20.30.2/16,1
20221201000803,10.20.30.3/16,1
20221201000804,192.168.1.1/24,1
20221201000805,192.168.1.2/24,1
