20221201000001,10.20.30.1/16,1
20221201000002,10.20.30.2/16,1
20221201000101,10.20.30.1/16,-
20221201000102,10.20.30.2/16,-
20221201000201,10.20.30.1/16,1
20221201000202,10.20.30.2/16,-
20221201000301,10.20.30.1/16,1
20221201000302,10.20.30.2/16,1
20221201000401,10.20.30.1/16,-
20221201000402,10.20.30.2/16,1
20221201000501,10.20.30.1/16,-
20221201000502,10.20.30.2/16,-
20221201000601,10.20.30.1/16,-
20221201000602,10.20.30.2/16,-
20221201000701,10.20.30.1/16,-
20221201000702,10.20.30.2/16,-
20221201000801,10.20.30.1/16,1
20221201000802,10.20.30.2/16,1
